alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
99.0;0.9;0.05;77.6;22.4;30.2;29.22;3.212;11.0116154651
99.0;0.9;0.3;58.8;41.2;16.4;29.45;5.73;19.4818268371
99.0;0.9;0.6;35.0;65.0;18.0;29.13;8.926;30.6546589481
99.0;0.9;0.9;5.0;95.0;6.2;29.95;15.078;50.3561778748
99.0;0.9;1.0;1.0;99.0;8.2;29.96;17.832;59.4178257683
99.0;0.9;9.0;43.4;56.6;19.0;30.15;7.83;25.9326180986
99.0;0.9;99.0;48.8;51.2;38.6;29.29;6.472;22.1466026762
99.0;1.0;0.05;76.4;23.6;26.0;29.04;3.186;11.0039040465
99.0;1.0;0.3;65.0;35.0;28.0;30.09;4.514;14.9980518443
99.0;1.0;0.6;51.6;48.4;23.2;29.76;6.83;22.9747248593
99.0;1.0;0.9;12.6;87.4;12.4;29.81;13.776;46.4912504134
99.0;1.0;1.0;11.4;88.6;20.0;29.72;12.95;43.507721789
99.0;1.0;9.0;51.2;48.8;23.0;29.59;6.232;21.0843835246
99.0;1.0;99.0;52.2;47.8;16.0;29.66;6.282;21.3207862071
99.0;9.0;0.05;74.4;25.6;32.0;30.55;4.016;13.1207938904
99.0;9.0;0.3;54.2;45.8;30.0;29.32;5.88;19.9854239028
99.0;9.0;0.6;19.6;80.4;19.4;29.28;11.468;39.188061828
99.0;9.0;0.9;2.2;97.8;14.0;29.31;15.282;52.1785348384
99.0;9.0;1.0;1.0;99.0;13.4;29.22;15.18;51.9633470187
99.0;9.0;9.0;35.2;64.8;14.4;29.84;8.824;29.5698738387
99.0;9.0;99.0;30.2;69.8;23.6;30.33;9.932;32.6804102796
99.0;99.0;0.05;77.0;23.0;27.8;29.92;3.596;12.0256085818
99.0;99.0;0.3;53.0;47.0;30.6;29.8;6.326;21.2112257866
99.0;99.0;0.6;21.2;78.8;21.6;29.18;11.104;38.0521975674
99.0;99.0;0.9;1.8;98.2;12.8;29.54;16.236;54.9719074555
99.0;99.0;1.0;2.2;97.8;13.6;29.14;17.55;60.2117975514
99.0;99.0;9.0;30.8;69.2;15.8;29.83;9.746;32.6645111867
99.0;99.0;99.0;31.0;69.0;19.4;29.37;9.522;32.3774811987
